Time [yr]	Species	Pebble Abundance [cm-2]
10000.0	grainC7H	1.3094093205e-18
10000.0	grainC7H2	1.9051684426e-17
10000.0	grainC7H3	0.0000000000e+00
10000.0	grainC7H4	0.0000000000e+00
10000.0	grainCH3C6H	5.0282302776e-15
10000.0	grainCH3C5N	1.7656100539e-34
10000.0	grainC8	1.6058438931e-21
10000.0	grainC8H	1.8963042091e-20
10000.0	grainC7N	1.8859416188e-28
10000.0	grainC8H2	6.1809457297e-20
10000.0	grainC8H3	0.0000000000e+00
10000.0	grainHC7N	6.0113923168e-30
10000.0	grainC8H4	0.0000000000e+00
10000.0	grainH2C7N	0.0000000000e+00
10000.0	grainH3C7N	0.0000000000e+00
10000.0	grainC9	1.0754760467e-20
10000.0	grainC9H	2.3116673713e-22
10000.0	grainC9H2	1.5914649106e-21
10000.0	grainC9H3	0.0000000000e+00
10000.0	grainC9H4	0.0000000000e+00
10000.0	grainCH3C7N	1.8563928138e-36
10000.0	grainC10	3.5750873725e-28
10000.0	grainC9N	1.7081072420e-27
10000.0	grainHC9N	3.9632673669e-29
10000.0	grainH2C9N	0.0000000000e+00
10000.0	grainH3C9N	0.0000000000e+00
10000.0	grain	7.2091077946e-13
